id,word,level
1,"aboard",3
2,"acceptable",3
3,"accident",3
4,"account",3
5,"accurate",3
6,"ache",3
7,"achieve",3
8,"achievement",3
9,"activity",3
10,"actual",3
11,"additional",3
12,"admire",3
13,"admit",3
14,"adopt",3
15,"advanced",3
16,"advantage",3
17,"adventure",3
18,"advertise",3
19,"advertisement",3
20,"ad",3
21,"advice",3
22,"advise",3
23,"adviser",3
24,"advisor",3
25,"affect",3
26,"afford",3
27,"afterward",3
28,"afterwards",3
29,"agriculture",3
30,"air-conditioner",3
31,"alley",3
32,"amaze",3
33,"amazement",3
34,"ambassador",3
35,"ambition",3
36,"angel",3
37,"angle",3
38,"announce",3
39,"announcement",3
40,"apart",3
41,"apparent",3
42,"appeal",3
43,"appreciate",3
44,"approach",3
45,"approve",3
46,"aquarium",3
47,"arithmetic",3
48,"arrival",3
49,"ash",3
50,"aside",3
51,"assist",3
52,"athlete",3
53,"attempt",3
54,"attitude",3
55,"attract",3
56,"attractive",3
57,"audience",3
58,"author",3
59,"automatic",3
60,"automobile",3
61,"auto",3
62,"available",3
63,"avenue",3
64,"average",3
65,"awake",3
66,"awaken",3
67,"award",3
68,"aware",3
69,"awful",3
70,"ax",3
71,"axe",3
72,"background",3
73,"bacon",3
74,"bacteria",3
75,"badly",3
76,"badminton",3
77,"baggage",3
78,"bait",3
79,"balance",3
80,"bandage",3
81,"bang",3
82,"bare",3
83,"barely",3
84,"barn",3
85,"barrel",3
86,"bay",3
87,"beam",3
88,"beast",3
89,"beggar",3
90,"behave",3
91,"being",3
92,"belly",3
93,"stomach",3
94,"tummy",3
95,"abdomen",3
96,"beneath",3
97,"benefit",3
98,"berry",3
99,"bible",3
100,"bible",3
101,"billion",3
102,"bingo",3
103,"biscuit",3
104,"blame",3
105,"blanket",3
106,"bleed",3
107,"bless",3
108,"blouse",3
109,"bold",3
110,"boot",3
111,"border",3
112,"bore",3
113,"brake",3
114,"brass",3
115,"bravery",3
116,"breast",3
117,"breath",3
118,"breathe",3
119,"breeze",3
120,"bride",3
121,"brilliant",3
122,"brook",3
123,"broom",3
124,"brow",3
125,"bubble",3
126,"bucket",3
127,"pail",3
128,"bud",3
129,"budget",3
130,"buffalo",3
131,"buffet",3
132,"bulb",3
133,"bull",3
134,"bullet",3
135,"bump",3
136,"bunch",3
137,"burden",3
138,"burglar",3
139,"bury",3
140,"bush",3
141,"buzz",3
142,"cabin",3
143,"campus",3
144,"cane",3
145,"canoe",3
146,"canyon",3
147,"capable",3
148,"capital",3
149,"capture",3
150,"carpenter",3
151,"carriage",3
152,"cast",3
153,"casual",3
154,"caterpillar",3
155,"cattle",3
156,"celebrate",3
157,"centimeter",3
158,"ceramic",3
159,"chain",3
160,"challenge",3
161,"champion",3
162,"changeable",3
163,"channel",3
164,"chapter",3
165,"charm",3
166,"chat",3
167,"cheek",3
168,"cheer",3
169,"cheerful",3
170,"cheese",3
171,"cherry",3
172,"chest",3
173,"chew",3
174,"childhood",3
175,"chill",3
176,"chilly",3
177,"chimney",3
178,"chip",3
179,"choke",3
180,"chop",3
181,"cigarette",3
182,"circus",3
183,"civil",3
184,"classical",3
185,"click",3
186,"client",3
187,"clinic",3
188,"clip",3
189,"clue",3
190,"cocktail",3
191,"coconut",3
192,"collar",3
193,"collection",3
194,"college",3
195,"colony",3
196,"column",3
197,"combine",3
198,"comfort",3
199,"comma",3
200,"command",3
201,"commercial",3
202,"committee",3
203,"communicate",3
204,"comparison",3
205,"compete",3
206,"complaint",3
207,"complex",3
208,"concern",3
209,"concert",3
210,"conclude",3
211,"conclusion",3
212,"condition",3
213,"cone",3
214,"confident",3
215,"confuse",3
216,"connect",3
217,"connection",3
218,"conscious",3
219,"considerable",3
220,"consideration",3
221,"constant",3
222,"continent",3
223,"contract",3
224,"couch",3
225,"countable",3
226,"coward",3
227,"cradle",3
228,"crash",3
229,"crawl",3
230,"creative",3
231,"creator",3
232,"creature",3
233,"credit",3
234,"creep",3
235,"crew",3
236,"cricket",3
237,"criminal",3
238,"crisp",3
239,"crispy",3
240,"crown",3
241,"crunchy",3
242,"crutch",3
243,"cultural",3
244,"cupboard",3
245,"current",3
246,"cycle",3
247,"dairy",3
248,"dam",3
249,"dare",3
250,"darling",3
251,"dash",3
252,"deafen",3
253,"dealer",3
254,"decade",3
255,"deck",3
256,"deed",3
257,"deepen",3
258,"define",3
259,"definition",3
260,"delivery",3
261,"democracy",3
262,"democratic",3
263,"deposit",3
264,"description",3
265,"designer",3
266,"desirable",3
267,"destroy",3
268,"detail",3
269,"determine",3
270,"devil",3
271,"dialogue",3
272,"diet",3
273,"diligent",3
274,"dim",3
275,"dime",3
276,"dine",3
277,"dip",3
278,"dirt",3
279,"disappoint",3
280,"disappointment",3
281,"disco",3
282,"discotheque",3
283,"discount",3
284,"discovery",3
285,"disease",3
286,"disk",3
287,"dislike",3
288,"ditch",3
289,"dive",3
290,"dock",3
291,"dodge",3
292,"domestic",3
293,"dose",3
294,"doubtful",3
295,"drain",3
296,"dramatic",3
297,"drip",3
298,"drown",3
299,"drowsy",3
300,"drunk",3
301,"due",3
302,"dump",3
303,"dust",3
304,"eager",3
305,"earnings",3
306,"echo",3
307,"edit",3
308,"edition",3
309,"editor",3
310,"educate",3
311,"educational",3
312,"efficient",3
313,"elbow",3
314,"elderly",3
315,"election",3
316,"electric",3
317,"electrical",3
318,"electricity",3
319,"electronic",3
320,"emergency",3
321,"emperor",3
322,"emphasize",3
323,"employment",3
324,"employ",3
325,"employee",3
326,"employer",3
327,"empty",3
328,"enable",3
329,"energetic",3
330,"engage",3
331,"engagement",3
332,"engine",3
333,"engineer",3
334,"enjoyable",3
335,"entry",3
336,"environmental",3
337,"envy",3
338,"erase",3
339,"escape",3
340,"evil",3
341,"excellence",3
342,"exchange",3
343,"exhibition",3
344,"existence",3
345,"exit",3
346,"expectation",3
347,"expense",3
348,"experiment",3
349,"explode",3
350,"export",3
351,"expression",3
352,"expressive",3
353,"extreme",3
354,"fable",3
355,"factor",3
356,"fade",3
357,"faint",3
358,"fairly",3
359,"fairy",3
360,"faith",3
361,"fake",3
362,"familiar",3
363,"fan",3
364,"fanatic",3
365,"fancy",3
366,"fare",3
367,"farther",3
368,"fashion",3
369,"fashionable",3
370,"fasten",3
371,"fate",3
372,"faucet",3
373,"tap",3
374,"fax",3
375,"feather",3
376,"feature",3
377,"file",3
378,"firework",3
379,"fist",3
380,"flame",3
381,"flavor",3
382,"flea",3
383,"flesh",3
384,"float",3
385,"flock",3
386,"fold",3
387,"folk",3
